time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-02 00:00:00+00:00,33,9,0,0
2026-05-03 00:00:00+00:00,17,6,0,0
2026-05-04 00:00:00+00:00,34,10,0,0
2026-05-05 00:00:00+00:00,23,6,0,0
2026-05-06 00:00:00+00:00,16,5,0,0
2026-05-07 00:00:00+00:00,14,7,0,0
2026-05-08 00:00:00+00:00,13,6,0,0
2026-05-09 00:00:00+00:00,13,4,0,0
2026-05-10 00:00:00+00:00,8,3,0,0
2026-05-11 00:00:00+00:00,23,7,0,0
2026-05-12 00:00:00+00:00,32,9,0,0
2026-05-13 00:00:00+00:00,32,8,0,0
2026-05-14 00:00:00+00:00,9,4,0,0
2026-05-15 00:00:00+00:00,9,4,0,0
