time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-24 00:00:00+00:00,91,29,0,0
2026-04-25 00:00:00+00:00,61,21,0,0
2026-04-26 00:00:00+00:00,32,8,0,0
2026-04-27 00:00:00+00:00,17,6,0,0
2026-04-28 00:00:00+00:00,11,4,0,0
2026-04-29 00:00:00+00:00,47,11,0,0
2026-04-30 00:00:00+00:00,29,9,0,0
2026-05-01 00:00:00+00:00,44,10,0,0
2026-05-02 00:00:00+00:00,33,9,0,0
2026-05-03 00:00:00+00:00,17,6,0,0
2026-05-04 00:00:00+00:00,34,10,0,0
2026-05-05 00:00:00+00:00,23,6,0,0
2026-05-06 00:00:00+00:00,16,5,0,0
2026-05-07 00:00:00+00:00,14,7,0,0
